"1","Animals & Pet Supplies","Тварини та зоотовари"
"3237","Live Animals","Живі тварини"
"2","Pet Supplies","Товари для домашніх тварин"
"3","Bird Supplies","Товари для птахів"
"7385","Bird Cage Accessories","Аксесуари для пташиних кліток"
"499954","Bird Cage Bird Baths","Купання для птахів у клітці"
"7386","Bird Cage Food & Water Dishes","Миски для їжі та води в пташиній клітці"
"4989","Bird Cages & Stands","Пташині клітки та підставки"
"4990","Bird Food","Корм для птахів"
"7398","Bird Gyms & Playstands","Тренажери та гойдалки для птахів"
"4991","Bird Ladders & Perches","Драбинки та жердочки для птахів"
"4992","Bird Toys","Іграшки для птахів"
"4993","Bird Treats","Ласощі для птахів"
"4","Cat Supplies","Товари для котів"
"5082","Cat Apparel","Одяг для котів"
"4433","Cat Beds","Ліжка для котів"
"3367","Cat Food","Корм для котів"
"543684","Non-prescription Cat Food","Корм для котів без рецепту"
"543683","Prescription Cat Food","Дієтичний корм для котів"
"4997","Cat Furniture","Меблі для котів"
"500059","Cat Furniture Accessories","Аксесуари для меблів для котів"
"4999","Cat Litter","Наповнювач для котячого туалету"
"8069","Cat Litter Box Liners","Пакети для котячого туалету"
"7142","Cat Litter Box Mats","Килимки для котячого туалету"
"5000","Cat Litter Boxes","Котячі туалети"
"5001","Cat Toys","Іграшки для котів"
"5002","Cat Treats","Ласощі для котів"
"5","Dog Supplies","Товари для собак"
"5004","Dog Apparel","Одяг для собак"
"4434","Dog Beds","Ліжка для собак"
"7372","Dog Diaper Pads & Liners","Підкладки та пелюшки для собак"
"499900","Dog Diapers","Підгузки для собак"
"3530","Dog Food","Корм для собак"
"543682","Non-prescription Dog Food","Корм для собак без рецепту"
"543681","Prescription Dog Food","Дієтичний корм для собак"
"5094","Dog Houses","Будки для собак"
"7428","Dog Kennel & Run Accessories","Аксесуари для вольєрів та загонів для собак"
"7274","Dog Kennels & Runs","Вольєри та загони для собак"
"5010","Dog Toys","Іграшки для собак"
"8123","Dog Treadmills","Бігові доріжки для собак"
"5011","Dog Treats","Ласощі для собак"
"6","Fish Supplies","Товари для риб"
"505303","Aquarium & Pond Tubing","Трубки для акваріумів та ставків"
"505307","Aquarium Air Stones & Diffusers","Аератори та дифузори для акваріумів"
"500038","Aquarium Cleaning Supplies","Засоби для чищення акваріумів"
"5019","Aquarium Decor","Декор для акваріумів"
"5020","Aquarium Filters","Фільтри для акваріумів"
"505306","Aquarium Fish Nets","Сітки для риби в акваріумі"
"5021","Aquarium Gravel & Substrates","Гравій та підкладка для акваріумів"
"5079","Aquarium Lighting","Освітлення для акваріумів"
"6951","Aquarium Overflow Boxes","Бокси для переливу в акваріумі"
"5023","Aquarium Stands","Підставки для акваріумів"
