,,,,,,,uk_UA,ru_RU,en_US
1,,,,,,,Тварини та зоотовари,Животные и товары для питомцев,Animals & Pet Supplies
1,2,,,,,,Товари для домашніх тварин,Товары для домашних животных,Pet Supplies
1,2,3,,,,,Товари для птахів,Товары для птиц,Bird Supplies
1,2,3,4989,,,,Пташині клітки та підставки,Клетки и подставки для птиц,Bird Cages & Stands
1,2,3,4990,,,,Корм для птахів,Корма для птиц,Bird Food
1,2,3,4991,,,,Драбинки та жердочки для птахів,Лесенки и жердочки для птиц,Bird Ladders & Perches
1,2,3,4992,,,,Іграшки для птахів,Игрушки для птиц,Bird Toys
1,2,3,4993,,,,Ласощі для птахів,Лакомства для птиц,Bird Treats
1,2,3,7385,,,,Аксесуари для пташиних кліток,Принадлежности для птичьих клеток,Bird Cage Accessories
1,2,3,7385,7386,,,Миски для їжі та води в пташиній клітці,Кормушки и поилки для птичьих клеток,Bird Cage Food & Water Dishes
1,2,3,7385,499954,,,Купання для птахів у клітці,Поилки для птичьих клеток,Bird Cage Bird Baths
1,2,3,7398,,,,Тренажери та гойдалки для птахів,Игровые площадки для птиц,Bird Gyms & Playstands
1,2,4,,,,,Товари для котів,Товары для кошек,Cat Supplies
1,2,4,3367,,,,Корм для котів,Корм для кошек,Cat Food
1,2,4,3367,543683,,,Дієтичний корм для котів,Ветеринарные корма для кошек,Prescription Cat Food
1,2,4,3367,543684,,,Корм для котів без рецепту,Обычные корма для кошек,Non-prescription Cat Food
1,2,4,4433,,,,Ліжка для котів,Лежаки для кошек,Cat Beds
1,2,4,4997,,,,Меблі для котів,Мебель для кошек,Cat Furniture
1,2,4,4999,,,,Наповнювач для котячого туалету,Наполнитель для кошачьих лотков,Cat Litter
1,2,4,5000,,,,Котячі туалети,Кошачьи лотки,Cat Litter Boxes
1,2,4,5001,,,,Іграшки для котів,Игрушки для кошек,Cat Toys
1,2,4,5002,,,,Ласощі для котів,Лакомства для кошек,Cat Treats
1,2,4,5082,,,,Одяг для котів,Костюмы для кошек,Cat Apparel
1,2,4,7142,,,,Килимки для котячого туалету,Коврики для кошачьих лотков,Cat Litter Box Mats
1,2,4,8069,,,,Пакети для котячого туалету,Подкладки для кошачьих лотков,Cat Litter Box Liners
1,2,4,500059,,,,Аксесуари для меблів для котів,Принадлежности для кошачьей мебели,Cat Furniture Accessories
1,2,5,,,,,Товари для собак,Товары для собак,Dog Supplies
1,2,5,3530,,,,Корм для собак,Корма для собак,Dog Food
1,2,5,3530,543681,,,Дієтичний корм для собак,Ветеринарные корма для собак,Prescription Dog Food
1,2,5,3530,543682,,,Корм для собак без рецепту,Обычные корма для собак,Non-prescription Dog Food
1,2,5,4434,,,,Ліжка для собак,Лежаки для собак,Dog Beds
1,2,5,5004,,,,Одяг для собак,Костюмы для собак,Dog Apparel
1,2,5,5010,,,,Іграшки для собак,Игрушки для собак,Dog Toys
1,2,5,5011,,,,Ласощі для собак,Лакомства для собак,Dog Treats
1,2,5,5094,,,,Будки для собак,Домики для собак,Dog Houses
1,2,5,7274,,,,Вольєри та загони для собак,Собачьи конуры и вольеры,Dog Kennels & Runs
1,2,5,7372,,,,Підкладки та пелюшки для собак,Пеленки и подгузники для собак,Dog Diaper Pads & Liners
1,2,5,7428,,,,Аксесуари для вольєрів та загонів для собак,Принадлежности для собачьих конур и вольеров,Dog Kennel & Run Accessories
1,2,5,8123,,,,Бігові доріжки для собак,Беговые дорожки для собак,Dog Treadmills
1,2,5,499900,,,,Підгузки для собак,Подгузники для собак,Dog Diapers
1,2,6,,,,,Товари для риб,Товары для рыб,Fish Supplies
1,2,6,3238,,,,Акваріуми,Аквариумы,Aquariums
